TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"
Skin Business ( old name Everybody loves porn) ;USA AND CANADA;YES;FENIX PICTURES;0 609408 422294;;DVD;;500,4;;Documentary;Skin Business, the;Jane, Jesse/ Steele, Riley;Hermans, Adriana D.;;Full;;30;1;19,98 US$;;;;;2012;7/23/13;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;English;No;No;90min;;YES;NN;;;;;;Zack And Miri Make A Porno, Meet The Spartans, Date Movie;http://www.privatecinema.info/#!skin-business-the-/c370;Meet The Spartans meets Date Movie. Major Jane, Jesse/ Steele, Riley. A documentary about the porn industry. It is movie in the same vain as other popular porn documentaries such as Rated X a journey through Porn and The girl next Door. With the trailer receiving over 3 millon views on youtube it is already seeming very popular. It explores how the porn industry may be failing and how the porn parody is saving it. Starring some of the most popular porn stars like Nikki Benz and Nicki Hunter. Also featuring prominent porn producer's such as Will Ryder.;Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows.;"THE SKIN BUSINESS is a movie about how the Internet has cut into the profits of what was once thought to be a recession-proof business, and how 
directors and producers are gambling on a newly- popular genre of porn: the porn parody. This film shows how the industry takes on some of entertainment's most popular franchises and makes them xxx; from Batman, to the Addams Family, to the Brady Bunch and even animated features like American Dad, there is nothing in mainstream that can't be made fun of in porn. If you love porn, you will love this movie. If you are a virgin to the world of porn, consider this Porn 101.";HD;1 m;Harley Fire;Adriana D Hemans;Harley Fire;Adriana D Hemans;Adriana D Hemans;LUCKY DEVIL ENTERTAINMENT ;PG13

LOVE ON A LEASH;USA AND CANADA;YES;FENIX PICTURES;0 609408 422348;;DVD;;500,41;;Comedy/Romance/Fantasy;LOVE ON A LEASH;Camp, Jana/Khamo, Aneese;Ten, Jennifer;;Full;;30;1;19,98 US$;;;;;2010;8/13/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Full Screen;4:03;NA;English;No;No;90min;;Yes;NN;;;;;;Every Dog Has His Date, Marley and Me, Lady and the Tramp, Pinocchio, The Princess and the Frog;http://www.privatecinema.info/#!love-on-a-leash/cr3l;Has a cute dog that capivates the audiences' interest. Wide range of audience due to the use of animals and the use of a quest story arc. Reminiscent of animated movies from Disney.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";A young women looking for love meets a homeless golden retriever Dog who turns into a man by night.;HD;1 M;ESTHER KO;Jennifer Ten;Jennifer Ten;Jennifer Ten;Jennifer Ten;HOLLYWOOD GRATWALL ENTERTAINMENT;G

Ally Cat The Ballet Cat;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422324;;DVD;;500,42;;Children, Family, Instructional, Educational, Ballet/Music & Dance;Ally Cat The Ballet Cat;Prima Ballerina Diana Vishneva/AllyCat the Ballet Cat;Baron Cohen, Ash;;Full;;30;1;19,98 US$;;;;;2011;8/13/13;NN;;;;;Amaray;1;NTSC;Dual Mono;Color;Widescreen;16x9;NA;English;No;Only in bonus feature Diana speaks in Russian (subtitled in English);60 Minutes Main video: 40:47 Bonus Features: Easy Barre 2:30 Diana's Interview: 19:52;;YES;NN;;;;;;Prima Princessa, The Wiggles, Angelina Ballerina;http://www.privatecinema.info/#!ally-cat/cfen;"Dancing ballet is a great way for children to stay fit, help combat childhood obesity and gain confidence. A valuable opportunity for children and parents to learn ballet from Prima Ballerina Diana Vishneva, one of the greatest ballerinas in the world. A living legend. (Similar to learning basketball skills from Kobe Bryant or soccer skills for David Beckham). A timeless, engaging animal character ""AllyCat the Ballet Cat"" is a superhero for children and dance. The cat characters make the learning process fun, imaginative and entertaining for children. Affordable way for children to learn ballet, a beautiful classical art that improves coordination, mental development and your child's imagination.
-Diana Vishneva, possibly the most famous Ballerina in the world
-it's a children's movie, it teaches them, helps them learn ballet, and gives them world's best as an example. Ballet is more difficult than it looks, and this film is also aimed at helping young girls learn Ballerina as an excercise and fitness pastime. Teaches children to overcome overwieght problems with Ballet.";"Join forces with Michelle Obama ""Let's Move"" campaign to help fight childhood obesity. Publicize, press, signings during Prima Ballerina Diana Vishneva performance season with ABT in NYC from May 15-June 15. A true inspiring tale of the dancer who performs as AllyCat, learning ballet as an adult (i.e. Billy Elliot) and then went on to perform on stage for the first time with her inspiration and greatest ballerina, Diana Vishneva, her dream of making ballet accessible for children worldwide who cannot afford classes. Send links to positive reviews.";"Unlike any other children's ballet video on the market, ""AllyCat the Ballet Cat"" is a very high quality program that features an engaging superhero animal character ""AllyCat the Ballet Cat"" who teaches ballet with superstar Prima Ballerina Diana Vishneva (Prima Ballerina of ABT and The Kirov Mariinsky in Russia) in a fun, imaginative and humorous way to multi-ethnic children dancers. Ballet is a great way to help children stay fit,combat childhood obesity and gain confidence. the DVD includes basic ballet technique, ballet language, fun dance combinations, solo performances from legendary Diana Vishneva, creative stretching, barre and center exercises. As a bonus feature, there is an exclusive interview with Prima Ballerina where she shares her dance secrets and rare photos of her dancing as a child";HD;1 M;Allyson Tang, Ash Baron Cohen;Allyson Tang, Ash Baron Cohen;Lauren Connelly;Svetlan Cvetko;Michael Roberts;Angel Heart Films, Inc. ;G

Black Coat Mob;USA AND CANADA;YES;FENIX PICTURES;0 609408 422355;;DVD;;500,43;;Musical/Romance/Goth/Drama;Black Coat Mob;Blackyrne, Morgan/Graham, Kesta/Dooley, Frank/Clement, Sean;Watson, Natasha;;Full;;30;1;19,98 US$;;;;;2012;8/27/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Full Screen;4,3;NA;English;YES;NO;72 mins.;;Yes;NN;;;;;;Zero Day, Elephant, Phantom of the Opera;http://www.privatecinema.info/#!black-coat-mob-the/c857;Coming of Age story for younger audiences. A cathartic revenge movie. Gothic visuals very reminiscent of Tim Burton movies.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"Reed contemplates revenge against Pam’s acquitted killer, while sweet memories of their love challenge him to make a choice; love or hate, malice or forgiveness, revenge or redemption.";HD;1 M;Ron A. Morgan, Paul Alland;Morgan Blackbyrne;Sam Cooper, Sean Wilton;Brad J. Hruboska;Levon Louis, Evan Dales;R.A.M. Pictures;R

Bad Kitties;USA AND CANADA;YES;FENIX PICTURES;0 609408 422423;;DVD;;500,45;;Coming of Age/Horror;Bad Kitties;Ceres, Dana/Hanson, Brandi/Sampedro, Melissa/Provence, Croix/Bell, Mary Elizabeth/Hanson, Brooke Autumn;Peden, Sean/Doll, Dana;;Full;;30;1;19,98;;;;;2012;9/10/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;103min;;Yes;NN;;;;;;The Virginity Hit, Catfish, Spring Breakers;http://www.privatecinema.info/#!bad-kitties/cmi6;Inspired by real events of girls brutally beating another girl over a facebook post. Extensive research and preperation was put into the film to make it look and feel as real as possible. Official selection of the Beverly Hills International Film Festival.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";The Marcomb County Police Department obtains footage of several troubled teenage girls documenting violent and disturbing behaviors. This footage is being released to general audiences for viewing as a public service. Note to audiences, this is reality at it's most sincere and disturbing. Criminal cases are pending on several of the seen individuals in the film.;HD;1 M;Sean Peden;Sean Peden;Sergey Gavrishkiv;Banks Lee;Sean Peden;Manic Entertainment;R

Afro Ninja;USA AND CANADA;YES;FENIX PICTURES;0 609408 422508;;DVD;;500,44;;Action/Comedy;Afro Ninja;Hicks, Mark A./Hopkins, Natascha/Gibbs, Marla/Black James;Hicks/Mark A.;;Full;;30;1;19,98;;;;;2009;9/10/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;88 min;;Yes;NN;;;;;;Enter the Dragon, Black Belt Jones;http://www.privatecinema.info/#!afro-ninja/ceg5;Stars Mark A. Hicks (Afro Ninja - Youtube sensation) and James Kelly (Enter the Dragon, Black Belt Jones)  Best on clip on Youtiube that already reached 15'000,000 (Fifteen millions) views! http://www.youtube.com/watch?v=BEtIoGQxqQs;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Reggie Carson has been working at the post office for over a decade. He hasn’t been promoted, his boss picks on him and he doesn’t have a girlfriend. All of this changes when Reggie and his post-office colleague, Sandra, find a thirty year old package on Halloween with magic nunchuks. The next day Reggie wakes up and finds he has a bad fro, badder abs and the baddest ninja skills around. He immediately uses these for the cause of justice and prepares for a showdown against the evil Kung Fu Master, Jerome ‘Black’ Lightning, as Afro Ninja sets out on a quest that will teach him both humility and humbleness, as well as the history of his skills and the truth about his father. Only then can Afro Ninja be the baddest dude in town.;HD;1 M;Mark Hicks;Carlton Holder, Mark Hicks, Bill Koressel;Marvin J. Miller, Allen Sowelle;Tom Kuo;Gemi Taylor;H3 Films;PG

Black Eve;USA AND CANADA;YES;FENIX PICTURES;0 609408 422416;;DVD;;500,46;;Thriller/Horror/Suspense;Black Eve;James, Eva/Green, Neil/London, Veronika/Santos, Kassandra/Win, Thet;Andrews, Ryan M.;;Full;;30;1;19,98;;;;;2010;9/24/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;N/A;English;No;No;88min;;Yes;NN;;;;;;The Sixth Sense, The Exorcist, Psycho, The Shining;http://www.privatecinema.info/#!black-eve/cg2g;Perfect Halloween night film (takes place on Halloween Night), very gory, great surprise ending;"Young good-looking cast includes Maxim girl (Veronika London), good press coverage, Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";A closed down department store is the setting for a wild Halloween party for a group of friends. The following morning, a woman, dressed in a jewel thief costume , wakes up in one of the many hidden away rooms and discovers that all of the other party guests have been murdered. Having psychic abilities, she uses her gift to retrace the final steps of the murdered guest. As Chris travels from room to room she discovers more and more dead bodies and as she uses her gift to see what happened, she sees one of the party guests, a large man, viciously killing everyone else. As the body count mounts, Chris is slowly able to piece together the events of the Halloween party, leading to everyone's demise.;HD;1m; Ryan Andrews;Niel Green;Chris Cull;Carl Elster;David O'Hearn;Blackguardism Creations;R

Early Grave;USA AND CANADA;YES;FENIX PICTURES;0 609408 422362;;DVD;;500,47;;Horror/Thriller/Suspense;Early Grave;Fenol, Kimbette/Harrity, Kayla/Del Orbe, Yeriana/Brown, Justin;DiBacco, Kevin;;Full;;30;1;19,98;;;;;2011;10/8/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;1,78;N/A;English;No;No;80min;;Yes;NN;;;;;;I Know What You Did Last Summer, Devil, Ten Little Indians;http://www.privatecinema.info/#!early-grave/cv9b;Large cast, more ways for the characters in the movie to die. Reminiscent of popular teen slasher/horror films from the 90's. The mystery killer element adds a lot of suspense and keeps the audience engaged as they try to figure out who the killer is.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";"After ten years apart, six people are summoned to the isolated island estate 
 of one of their former friends, now a famous horror writer. Once there, 
 separated by guilt, yet bound together by a terrible secret, seven 
 fractured adults try to reconnect with each other, and take stock of 
 their lives.Outside, the storm clouds gather. Rain, lightning 
 and wind isolate the house by washing out the road and knocking down the
 power lines. The group is stranded at the estate, and unable to get off
 the island. Then, they begin to be brutally murdered one by one.Someone
 is out there in the wind and the rain, someone who has waited ten years
 to wreak a bloody vengeance on this group. Seven friends find 
 themselves in a struggle to survive and outwit a diabolical killer who 
 is savagely committed to sending them all to an EARLY GRAVE.";HD;1 M;Jackie Buck;Kevin Dibacco;Kevin Dibacco;Mark Hensley;Pedro Celli;Dibacco Films;R

Penance;USA AND CANADA;YES;FENIX PICTURES;0 609408 422409;;DVD;;500,49;;Horror/Mystery/Thriller;Penance;Delfino, Marieh/Rooker, Michael/MacTavish, Graham/Amter, Alice;Kennedy, Jake;;Full;;30;1;19,98;;;;;2009;10/22/13;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;1,78;NA;English;No;No;85min;;YES;NN;;;;;;Cannibal Holocaust, Paranormal Activity, Blair Witch Project, Undocumented;http://www.privatecinema.info/#!penance/cwd1;"-Written and Directed by Jake Kennedy(Days of Darkness, We All Fall Down)
 -Featured in the Bloodfest Fantastique Film Festival
 -Starring Marieh Delfino(Jeepers Creepers II), who has worked with Oscar nominee Sam Shepard on Don’t Come Knocking. Delfino received an award at the 2011 Bloodfest Fantastique Film Festival for Best Actress. 
 -Features Michael Rooker(Cliffhanger, The Bone Collector, Jumper). Rooker also received awards for Best Actor in Henry: Portrait of a Serial Killer at the 1990 Seattle International Film Festival and at 1991’s Fantasporto. 
 -Also features Lochlyn Munro(White Chicks, Unforgiven, Freddy vs. Jason, Scary Movie)

Penance stars Marieh Delfino as an exotic dancer who goes out for her first job and finds herself in the clutches of a maniacal doctor (Graham McTavish). The genre-friendly cast also includes Tony Todd, Michael Rooker, Jason Connery, Zombie Honeymoon's Tracy Coogan and Wicked Lake’s Eve Mauro";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";"A young mother decides to become a stripper to earn some fast cash only to find her worst nightmares are about to begin when she falls into the hands of a religious fanatic intent on changing her ""evil"" ways.";HD;1 M;Demian Lichtenstein;Jake Kennedy;Ali Assili, David Haynes;Lawles Bourque;Ryan Dodson;Clever Worm Entertainment;R
